Nombre,DNI,NSS,Género,Código Postal,Fecha Nacimiento,Fecha Ingreso,Diagnóstico,Tratamiento,Resultados
Clara Martínez,56876989L,84/78548812/07,M,41998,1956-03-07,2024-05-21,Diabetes tipo II,Enalapril 10 mg/día,Control parcial
Laura Gómez,14700453Z,71/18731045/05,M,52721,1957-09-26,2024-07-03,Ansiedad generalizada,Antihistamínicos,Sin cambios relevantes
Sergio Romero,88658099U,67/30015038/08,F,45827,1947-01-07,2025-01-06,Lumbalgia crónica,Antihistamínicos,Síntomas reducidos
Paula López,53747928K,74/49542628/02,M,28076,1959-06-05,2023-03-21,Dermatitis atópica,Omeprazol 20 mg/día,Sin cambios relevantes
Lucía López,79543121L,42/99251487/07,F,52580,1955-02-04,2023-10-24,Dermatitis atópica,Enalapril 10 mg/día,Requiere seguimiento
Sergio Gómez,24130952Z,73/49316008/01,M,43556,1955-05-28,2024-10-19,Alergia estacional,Ibuprofeno 400 mg/8h,Respuesta favorable
David Sánchez,28366691L,19/28620044/02,M,34756,2000-04-23,2023-06-10,Asma persistente,Ibuprofeno 400 mg/8h,Requiere seguimiento
Lucía López,87633754Y,14/85043784/01,M,37655,1951-09-10,2023-10-26,Migraña episódica,Fisioterapia,Requiere seguimiento
Paula Navarro,88530292J,56/37832695/02,F,52366,1994-05-25,2025-09-07,Hipertensión arterial,Enalapril 10 mg/día,Alta médica
Elena Ruiz,44221448W,29/98229258/01,F,40865,1960-05-01,2023-06-24,Gastritis,Sertralina 50 mg,Estable
Paula Ortega,79929724C,41/38587359/08,M,39633,1943-05-07,2024-09-30,Hipertensión arterial,Sertralina 50 mg,Mejora significativa
Sergio Romero,43636538I,21/13157746/07,F,41356,1993-10-25,2025-11-28,Ansiedad generalizada,Omeprazol 20 mg/día,Control parcial
Carlos Gómez,53527977P,52/29307611/04,F,29776,1977-01-30,2023-09-16,Ansiedad generalizada,Omeprazol 20 mg/día,Sin cambios relevantes
Javier Ortega,83259516B,27/72706537/06,F,34618,1956-09-09,2023-01-18,Migraña episódica,Ibuprofeno 400 mg/8h,Sin cambios relevantes
Hugo Ortega,26137227Z,95/16684709/05,F,28820,1996-11-10,2023-07-22,Artritis leve,Enalapril 10 mg/día,Control parcial
Sergio Navarro,93771789I,90/99660291/01,M,47762,1951-12-26,2023-12-04,Lumbalgia crónica,Salbutamol inhalado,Alta médica
Hugo Gómez,75355023R,22/62462589/07,M,35174,1972-03-17,2024-01-19,Asma persistente,Sertralina 50 mg,Estable
Carlos Navarro,13839711W,89/56808841/06,M,52770,2008-01-09,2023-05-19,Hipertensión arterial,Metformina 850 mg/12h,Estable
Marta Vega,69531721G,48/13714780/03,F,23604,1992-06-21,2023-04-08,Diabetes tipo II,Salbutamol inhalado,Estable
Paula Díaz,33433643W,95/66516489/08,M,27551,1950-04-23,2023-10-30,Diabetes tipo II,Omeprazol 20 mg/día,Requiere seguimiento
Clara Gómez,18189633Z,30/45777460/02,M,40506,1944-01-09,2023-01-03,Migraña episódica,Paracetamol 1g,Respuesta favorable
Javier Ruiz,39882540S,35/61038488/04,M,44384,1949-12-30,2024-09-10,Lumbalgia crónica,Paracetamol 1g,Requiere seguimiento
Paula Navarro,15483745U,24/27551933/08,F,37770,1973-01-25,2025-03-30,Dermatitis atópica,Metformina 850 mg/12h,Estable
Ana Ortega,70026474V,92/37960130/03,F,42590,1955-10-25,2023-10-12,Dermatitis atópica,Omeprazol 20 mg/día,Mejora significativa
Marta Castro,81283892V,80/57589674/06,M,52653,1977-11-19,2025-10-07,Migraña episódica,Fisioterapia,Alta médica
Sara Vega,76052084N,35/72772232/05,M,16065,1943-03-13,2024-08-01,Lumbalgia crónica,Omeprazol 20 mg/día,Mejora significativa
Sara Vega,44654054U,23/80745187/02,F,39589,1946-03-02,2023-12-27,Alergia estacional,Metformina 850 mg/12h,Mejora significativa
Pablo López,40573435I,28/76132646/06,F,45182,1964-05-04,2023-12-10,Hipertensión arterial,Metformina 850 mg/12h,Síntomas reducidos
Sara Ruiz,80254991D,40/51020570/02,F,33180,1946-04-16,2024-08-01,Dermatitis atópica,Fisioterapia,Respuesta favorable
Laura Romero,45752488U,46/59616718/05,M,29897,1981-08-25,2023-05-15,Artritis leve,Metformina 850 mg/12h,Control parcial
Carlos Romero,49868870S,37/97575426/03,M,39355,2010-08-02,2023-05-13,Artritis leve,Antihistamínicos,Alta médica
Mario Vega,97589041G,62/21473600/08,M,13597,1943-12-22,2024-11-14,Asma persistente,Enalapril 10 mg/día,Requiere seguimiento
Clara Díaz,97362839P,59/93334924/01,F,42676,1994-04-24,2024-03-01,Alergia estacional,Enalapril 10 mg/día,Mejora significativa
Pablo López,23235986K,48/46969207/09,F,20259,1965-12-05,2025-11-26,Hipertensión arterial,Omeprazol 20 mg/día,Alta médica
David Castro,43262298Y,14/61303531/03,M,35060,1970-09-15,2024-01-07,Alergia estacional,Enalapril 10 mg/día,Reagudización leve
Pablo Ruiz,95028624L,22/67537566/08,M,22714,1955-07-22,2023-12-28,Hipertensión arterial,Sertralina 50 mg,Requiere seguimiento
Javier Navarro,26143801C,49/25020552/09,F,38795,1970-05-12,2023-08-10,Dermatitis atópica,Antihistamínicos,Requiere seguimiento
Mario Molina,27796103V,18/58044907/09,M,47762,1978-11-12,2024-02-29,Alergia estacional,Antihistamínicos,Síntomas reducidos
Javier López,71456473R,78/84168668/04,F,42438,1994-03-09,2024-06-08,Artritis leve,Sertralina 50 mg,Estable
Elena Gómez,38194478D,85/38968779/04,F,41434,2001-05-25,2023-12-10,Ansiedad generalizada,Salbutamol inhalado,Respuesta favorable
Sergio Navarro,79870191W,82/16177949/03,F,14795,2001-10-09,2023-10-23,Hipertensión arterial,Metformina 850 mg/12h,Mejora significativa
Lucía Martínez,34376567M,12/32195230/05,F,39576,1945-07-26,2023-03-22,Diabetes tipo II,Omeprazol 20 mg/día,Control parcial
Elena Vega,33442273I,43/41165569/05,F,48753,1968-09-17,2023-12-23,Artritis leve,Enalapril 10 mg/día,Mejora significativa
Sara Ruiz,49871402T,76/57619721/09,M,14723,1946-08-13,2024-03-21,Dermatitis atópica,Paracetamol 1g,Mejora significativa
Lucía Díaz,18444982X,59/72383193/02,F,38201,1954-07-24,2024-06-15,Dermatitis atópica,Paracetamol 1g,Mejora significativa
David Ruiz,14560873K,50/85382450/03,F,15748,1948-11-25,2024-11-10,Artritis leve,Metformina 850 mg/12h,Sin cambios relevantes
Marta López,90036258Z,96/17599363/04,F,42846,1988-10-08,2023-03-31,Diabetes tipo II,Omeprazol 20 mg/día,Mejora significativa
David Castro,91088343I,18/61909235/03,M,35096,2010-07-08,2023-06-28,Diabetes tipo II,Fisioterapia,Sin cambios relevantes
Javier Ruiz,49416683G,58/65091423/04,M,45256,1973-10-18,2024-06-06,Hipertensión arterial,Metformina 850 mg/12h,Reagudización leve
Paula Navarro,19051543P,86/69280807/06,F,16055,1959-12-02,2024-06-04,Dermatitis atópica,Metformina 850 mg/12h,Reagudización leve
Sara Vega,21730259T,50/63533131/03,F,52911,1983-05-05,2024-06-03,Hipertensión arterial,Ibuprofeno 400 mg/8h,Reagudización leve
Mario Ortega,89335512A,29/25856000/02,F,30516,1972-09-06,2023-05-21,Gastritis,Metformina 850 mg/12h,Mejora significativa
Sergio Fernández,27310305A,70/57838301/01,F,46999,1963-04-12,2024-02-27,Lumbalgia crónica,Corticoide tópico,Reagudización leve
Elena Castro,97988213O,15/30717125/04,F,28444,1979-12-07,2023-04-24,Alergia estacional,Omeprazol 20 mg/día,Alta médica
Ana López,95590445U,93/37053287/05,F,10508,1961-08-19,2023-04-20,Asma persistente,Enalapril 10 mg/día,Mejora significativa
Hugo Vega,87224175T,93/40448579/05,M,25762,1999-03-15,2023-03-26,Gastritis,Ibuprofeno 400 mg/8h,Síntomas reducidos
Mario Gómez,13093363I,15/55170924/06,M,17480,1953-07-25,2024-06-10,Dermatitis atópica,Omeprazol 20 mg/día,Alta médica
Ana Fernández,44793856Y,54/89607813/09,F,32343,2003-03-31,2025-08-09,Dermatitis atópica,Enalapril 10 mg/día,Mejora significativa
Ana Martínez,85879497V,87/74183649/06,M,23417,1981-05-07,2024-01-06,Artritis leve,Ibuprofeno 400 mg/8h,Estable
Lucía Castro,96152343A,45/24445242/03,M,19295,1952-01-30,2025-10-09,Alergia estacional,Sertralina 50 mg,Requiere seguimiento
Mario Ruiz,78314171S,49/65918810/09,M,12807,1942-01-04,2024-02-13,Lumbalgia crónica,Corticoide tópico,Requiere seguimiento
Clara Castro,60791226N,63/27626498/08,M,18137,1977-02-18,2024-11-21,Lumbalgia crónica,Sertralina 50 mg,Control parcial
Marta Ortega,31228988O,97/89622254/04,M,30711,1990-10-30,2023-04-08,Lumbalgia crónica,Fisioterapia,Respuesta favorable
Javier Fernández,95027214N,67/65688830/09,F,27191,1994-11-07,2024-11-10,Asma persistente,Antihistamínicos,Requiere seguimiento
Laura Vega,75444047B,84/74606067/04,F,47167,1943-08-03,2023-05-18,Ansiedad generalizada,Fisioterapia,Control parcial
Clara Fernández,35460553O,59/84596545/03,F,21540,2008-02-18,2024-05-14,Ansiedad generalizada,Corticoide tópico,Mejora significativa
Mario Ortega,74149459H,52/47924923/04,M,23848,1940-07-04,2024-12-10,Ansiedad generalizada,Fisioterapia,Requiere seguimiento
Lucía Díaz,64637998H,66/64356799/09,M,43700,1995-01-16,2024-07-19,Ansiedad generalizada,Sertralina 50 mg,Síntomas reducidos
Clara Ruiz,19055153F,38/91604059/02,M,38485,2009-11-16,2023-06-01,Hipertensión arterial,Ibuprofeno 400 mg/8h,Estable
Lucía Gómez,45503407U,71/21680642/09,F,17559,1975-03-24,2023-09-25,Dermatitis atópica,Ibuprofeno 400 mg/8h,Reagudización leve
Lucía Martínez,93104043V,32/61720554/04,M,35746,2000-01-09,2024-04-17,Dermatitis atópica,Metformina 850 mg/12h,Estable
Carlos Fernández,36669630A,97/70792553/05,M,33410,1991-09-30,2023-06-12,Diabetes tipo II,Salbutamol inhalado,Alta médica
Laura Fernández,65106649E,12/22562958/08,F,49668,1978-08-06,2025-09-08,Hipertensión arterial,Enalapril 10 mg/día,Mejora significativa
Mario Molina,36090611B,21/75830519/03,M,35332,1959-08-16,2024-11-06,Dermatitis atópica,Paracetamol 1g,Sin cambios relevantes
Clara Navarro,61874207A,10/31482881/05,M,22741,1966-09-09,2024-10-16,Ansiedad generalizada,Omeprazol 20 mg/día,Síntomas reducidos
Javier Vega,12791772V,49/24944594/05,M,31288,1963-06-24,2024-07-20,Migraña episódica,Ibuprofeno 400 mg/8h,Sin cambios relevantes
Paula Gómez,14518350S,76/54974824/04,M,18480,1988-12-23,2025-08-18,Alergia estacional,Omeprazol 20 mg/día,Síntomas reducidos
Mario Ruiz,52114682E,75/67218473/02,M,11614,1955-12-03,2024-04-09,Alergia estacional,Corticoide tópico,Requiere seguimiento
Sergio Sánchez,61641475E,83/87535601/07,M,24161,1979-10-10,2025-09-09,Gastritis,Metformina 850 mg/12h,Respuesta favorable
Carlos López,33934572E,19/21493822/09,M,27351,1993-12-03,2025-07-13,Lumbalgia crónica,Ibuprofeno 400 mg/8h,Mejora significativa
Marta López,14793626G,21/16543226/04,F,23164,1946-03-28,2023-04-07,Alergia estacional,Paracetamol 1g,Alta médica
Marta López,34526226W,88/11564008/02,M,30550,1961-08-29,2023-07-03,Lumbalgia crónica,Metformina 850 mg/12h,Requiere seguimiento
Mario Molina,22410119T,87/82228183/05,M,28182,2006-05-02,2024-08-10,Asma persistente,Fisioterapia,Síntomas reducidos
Hugo Navarro,72499407F,79/82440489/03,F,27024,2005-04-18,2025-04-04,Gastritis,Fisioterapia,Requiere seguimiento
Carlos Castro,50955039G,12/99890489/09,F,11006,1977-07-04,2025-07-01,Diabetes tipo II,Ibuprofeno 400 mg/8h,Estable
Ana Romero,52166081Y,94/17325047/04,F,36818,1996-11-03,2025-11-17,Diabetes tipo II,Salbutamol inhalado,Sin cambios relevantes
David Díaz,71673192W,20/95598619/03,M,20616,1953-11-22,2023-05-20,Asma persistente,Fisioterapia,Respuesta favorable
Carlos Ortega,23216252C,80/41234222/05,M,13470,1959-02-11,2025-04-27,Migraña episódica,Paracetamol 1g,Respuesta favorable
Lucía Romero,31940485Q,90/16275718/06,F,45645,2007-10-24,2024-07-09,Migraña episódica,Fisioterapia,Sin cambios relevantes
Javier Martínez,55006618P,39/94272307/01,M,51647,1990-12-28,2024-12-03,Migraña episódica,Fisioterapia,Síntomas reducidos
Javier Gómez,46665014E,86/86993824/04,F,50391,1986-12-06,2025-11-03,Diabetes tipo II,Antihistamínicos,Reagudización leve
Elena Fernández,62063079U,61/65289266/05,M,28138,1997-03-17,2023-05-23,Hipertensión arterial,Enalapril 10 mg/día,Control parcial
Laura Martínez,52415037D,35/36313154/04,F,45060,1940-03-12,2025-05-09,Gastritis,Enalapril 10 mg/día,Síntomas reducidos
Clara López,71663671N,81/69604160/02,F,17042,1989-01-12,2024-01-11,Migraña episódica,Antihistamínicos,Control parcial
Javier Molina,55780541U,21/41075125/03,F,11229,1994-01-01,2023-05-02,Dermatitis atópica,Enalapril 10 mg/día,Mejora significativa
Marta Navarro,81742474K,38/65928450/04,F,10744,1942-08-22,2025-04-24,Alergia estacional,Fisioterapia,Alta médica
Carlos Vega,60793453R,20/64104627/07,M,46812,1961-06-25,2024-10-13,Diabetes tipo II,Omeprazol 20 mg/día,Control parcial
Hugo Díaz,83154242B,46/88049344/08,M,46342,1964-01-30,2024-09-20,Migraña episódica,Antihistamínicos,Reagudización leve
Elena Gómez,65182366W,77/99405758/01,F,35576,1973-12-25,2025-11-30,Ansiedad generalizada,Sertralina 50 mg,Respuesta favorable
Clara Molina,86735824W,86/31473878/09,F,37639,1963-10-12,2024-04-18,Diabetes tipo II,Salbutamol inhalado,Reagudización leve
Elena Vega,51119577F,49/52373598/06,F,37388,1995-07-31,2025-01-19,Dermatitis atópica,Salbutamol inhalado,Mejora significativa
David Vega,52966647A,49/43276736/04,M,51745,1988-04-07,2025-07-02,Artritis leve,Fisioterapia,Síntomas reducidos
Ana López,21469410Y,86/56689734/09,F,14057,1964-03-04,2024-08-23,Artritis leve,Sertralina 50 mg,Reagudización leve
Clara Ruiz,78221784C,76/79070241/06,F,39285,2009-04-09,2025-07-22,Artritis leve,Corticoide tópico,Respuesta favorable
Hugo Martínez,51768237P,77/63071937/06,F,24971,1965-04-25,2023-02-03,Asma persistente,Salbutamol inhalado,Requiere seguimiento
Sara Gómez,93496384P,58/70832278/01,F,49322,1997-02-21,2025-01-10,Migraña episódica,Omeprazol 20 mg/día,Mejora significativa
Sergio Molina,63508802Q,22/48505785/01,M,25428,1955-01-19,2023-01-21,Alergia estacional,Corticoide tópico,Sin cambios relevantes
Laura Navarro,24486826C,48/60544704/01,F,41799,1979-04-20,2023-02-23,Hipertensión arterial,Salbutamol inhalado,Sin cambios relevantes
Clara López,84748361S,93/53870979/05,F,12591,2005-06-08,2025-04-16,Hipertensión arterial,Corticoide tópico,Requiere seguimiento
Pablo Fernández,46220296O,57/19217913/09,M,24825,2003-03-19,2025-04-17,Hipertensión arterial,Sertralina 50 mg,Reagudización leve
David Martínez,87357594O,15/68097578/09,M,40574,1996-03-07,2023-03-30,Diabetes tipo II,Sertralina 50 mg,Sin cambios relevantes
David Molina,40697712R,55/50179146/07,M,11791,1987-10-26,2024-05-03,Asma persistente,Metformina 850 mg/12h,Mejora significativa
Ana Romero,18922907W,37/99494443/04,F,39026,1977-04-17,2025-10-29,Alergia estacional,Metformina 850 mg/12h,Requiere seguimiento
Elena Sánchez,90841195Y,56/67674454/08,F,35374,1968-01-12,2023-12-09,Migraña episódica,Fisioterapia,Reagudización leve
Hugo Castro,29405072M,77/32925058/06,M,36168,1956-03-14,2025-08-27,Lumbalgia crónica,Ibuprofeno 400 mg/8h,Mejora significativa
Laura Molina,85195303P,44/41644554/08,F,33930,1994-12-03,2024-07-13,Migraña episódica,Corticoide tópico,Requiere seguimiento
Mario Castro,99300496J,69/10517379/02,M,51486,1972-02-21,2023-02-20,Diabetes tipo II,Salbutamol inhalado,Alta médica
Paula Navarro,83638082Y,94/96021303/06,M,11907,1956-02-15,2024-11-06,Alergia estacional,Metformina 850 mg/12h,Mejora significativa
Carlos López,45277145K,70/46016237/01,M,34882,1988-03-04,2025-01-15,Ansiedad generalizada,Omeprazol 20 mg/día,Respuesta favorable
Elena Díaz,79121822D,38/41375170/09,F,42542,1999-07-13,2025-05-31,Alergia estacional,Enalapril 10 mg/día,Estable
Mario Ruiz,76711941Y,50/90146101/09,F,52607,1955-05-25,2024-03-04,Diabetes tipo II,Antihistamínicos,Sin cambios relevantes
Sergio Martínez,59477071Q,48/79158534/04,M,45160,1946-06-24,2024-07-05,Artritis leve,Ibuprofeno 400 mg/8h,Síntomas reducidos
Mario Molina,84848178R,41/45463802/01,M,31944,1999-11-09,2023-06-24,Alergia estacional,Metformina 850 mg/12h,Requiere seguimiento
Hugo Castro,29124240X,70/45508066/05,F,34982,1949-12-27,2023-03-28,Migraña episódica,Omeprazol 20 mg/día,Sin cambios relevantes
Sergio Gómez,70889309G,96/14910928/04,M,31397,2001-06-08,2023-04-06,Dermatitis atópica,Enalapril 10 mg/día,Reagudización leve
Mario Castro,86116209V,96/88205488/01,F,32609,1976-07-03,2025-06-09,Migraña episódica,Enalapril 10 mg/día,Mejora significativa
Hugo Castro,66879954V,22/53830600/01,F,14605,1963-06-01,2024-12-04,Migraña episódica,Enalapril 10 mg/día,Reagudización leve
Ana Sánchez,85002086D,85/39019197/06,F,51581,2002-02-15,2023-02-11,Migraña episódica,Ibuprofeno 400 mg/8h,Reagudización leve
Elena Molina,22668435A,80/58855928/05,F,13053,1985-03-15,2024-09-08,Diabetes tipo II,Corticoide tópico,Reagudización leve
Paula Ruiz,40874418G,66/88152185/06,M,17163,1967-08-09,2023-06-14,Hipertensión arterial,Omeprazol 20 mg/día,Respuesta favorable
David Sánchez,54788496A,13/51034538/02,F,12724,1994-07-31,2023-04-30,Alergia estacional,Omeprazol 20 mg/día,Requiere seguimiento
Hugo Ruiz,34718015Q,72/78242759/08,M,33730,1944-08-16,2025-10-13,Hipertensión arterial,Sertralina 50 mg,Síntomas reducidos
Lucía Ortega,25485267R,47/52955006/09,M,16920,1966-11-09,2025-01-09,Alergia estacional,Antihistamínicos,Respuesta favorable
Elena Romero,61808117E,55/79527994/03,M,23610,1962-05-05,2023-03-05,Asma persistente,Enalapril 10 mg/día,Control parcial
Lucía Molina,49848074C,15/84241151/08,M,43989,1988-08-19,2025-07-06,Diabetes tipo II,Sertralina 50 mg,Sin cambios relevantes
Elena Ortega,13283472B,10/73505806/09,F,51160,1977-04-03,2023-02-05,Diabetes tipo II,Fisioterapia,Respuesta favorable
Javier Navarro,15012759R,66/12762094/06,M,25097,1950-11-13,2025-01-12,Hipertensión arterial,Metformina 850 mg/12h,Sin cambios relevantes
Javier Fernández,85014400W,28/33386612/03,M,22774,1964-03-18,2025-03-21,Migraña episódica,Ibuprofeno 400 mg/8h,Sin cambios relevantes
Paula Martínez,23670347R,23/69322256/07,M,37355,2002-06-03,2025-09-02,Migraña episódica,Ibuprofeno 400 mg/8h,Control parcial
Hugo Ruiz,91774079M,17/13849475/04,F,28429,2010-12-29,2023-09-12,Dermatitis atópica,Sertralina 50 mg,Reagudización leve
Ana Sánchez,58075404M,28/70307282/03,M,21155,1942-08-04,2023-07-07,Dermatitis atópica,Enalapril 10 mg/día,Requiere seguimiento
Sergio Díaz,80732105V,89/39595244/04,M,20295,1953-08-12,2024-06-14,Gastritis,Fisioterapia,Alta médica
Mario López,39883415T,48/41083376/02,M,33544,2008-06-17,2024-11-27,Artritis leve,Paracetamol 1g,Sin cambios relevantes
Ana Ortega,88024302Z,52/64155565/03,F,20370,1972-05-02,2023-07-02,Asma persistente,Corticoide tópico,Alta médica
Clara Gómez,78709989F,92/52121159/07,F,39371,1978-10-16,2024-09-16,Gastritis,Salbutamol inhalado,Respuesta favorable
Laura Gómez,64856218S,21/47854155/04,F,22518,2010-07-24,2024-08-04,Ansiedad generalizada,Ibuprofeno 400 mg/8h,Respuesta favorable
Sara Vega,82849248I,54/12751292/01,M,42800,1992-05-10,2024-08-07,Dermatitis atópica,Antihistamínicos,Mejora significativa
Javier Vega,97704366O,91/49896062/06,M,19979,2001-03-21,2025-05-16,Asma persistente,Omeprazol 20 mg/día,Control parcial
Elena Navarro,46267063C,73/18917121/02,M,42037,1940-10-25,2025-02-20,Diabetes tipo II,Omeprazol 20 mg/día,Mejora significativa
Ana Gómez,35405781V,35/67173972/02,M,52131,1946-04-16,2025-06-01,Asma persistente,Corticoide tópico,Control parcial
Javier López,18641499B,42/13726527/05,F,52173,1964-08-13,2023-09-26,Alergia estacional,Salbutamol inhalado,Control parcial
Carlos Vega,25580878M,70/60643858/09,F,14886,1941-12-10,2024-08-28,Migraña episódica,Paracetamol 1g,Sin cambios relevantes
Javier Molina,68089116C,41/26675687/02,F,47695,1975-10-08,2024-08-29,Asma persistente,Omeprazol 20 mg/día,Requiere seguimiento
Laura López,56337920K,39/29690444/01,M,36819,1988-08-11,2023-01-05,Gastritis,Sertralina 50 mg,Mejora significativa
Javier Vega,25608473D,48/62232685/08,M,23476,1979-03-26,2025-03-16,Diabetes tipo II,Salbutamol inhalado,Control parcial
Sergio Díaz,94584016H,90/97442016/08,M,10408,1985-11-10,2023-12-30,Ansiedad generalizada,Antihistamínicos,Sin cambios relevantes
Mario Navarro,59967169M,45/87159078/07,F,44312,2000-10-04,2023-09-16,Artritis leve,Sertralina 50 mg,Mejora significativa
Lucía Vega,80540570N,47/15701273/01,M,11933,1956-02-19,2024-05-04,Alergia estacional,Sertralina 50 mg,Estable
Laura Navarro,52003061J,91/76075043/05,F,23295,1973-10-01,2024-05-09,Alergia estacional,Metformina 850 mg/12h,Reagudización leve
Hugo Fernández,45877992T,65/36849131/07,M,16964,1973-09-10,2025-04-03,Migraña episódica,Salbutamol inhalado,Control parcial
Javier Ruiz,46345350B,47/80049525/05,M,44896,1949-10-23,2024-07-16,Ansiedad generalizada,Salbutamol inhalado,Requiere seguimiento
Hugo Sánchez,99911684I,41/46206113/02,M,40961,1945-12-16,2023-01-24,Lumbalgia crónica,Metformina 850 mg/12h,Síntomas reducidos
Clara Ortega,29060688I,15/52449768/07,M,33355,2001-08-17,2024-09-18,Diabetes tipo II,Paracetamol 1g,Síntomas reducidos
Ana Gómez,78361834W,98/28341550/03,M,20193,1956-01-02,2025-11-20,Ansiedad generalizada,Omeprazol 20 mg/día,Síntomas reducidos
Mario Ruiz,81624098Z,96/32551020/03,M,29195,2001-05-09,2024-06-06,Hipertensión arterial,Fisioterapia,Sin cambios relevantes
Mario López,42688371U,55/20516056/02,F,21053,1955-02-27,2025-01-05,Diabetes tipo II,Enalapril 10 mg/día,Mejora significativa
David Martínez,55036202W,13/19046876/02,F,43454,1947-11-25,2024-04-26,Asma persistente,Omeprazol 20 mg/día,Estable
Pablo Ruiz,71350363B,59/16756469/06,M,25347,1972-08-10,2025-06-13,Migraña episódica,Paracetamol 1g,Reagudización leve
Clara Sánchez,94970517Y,54/54584188/03,F,18109,2008-03-10,2023-10-19,Gastritis,Antihistamínicos,Estable
Mario Castro,31817447R,88/74821712/06,M,20156,1960-05-16,2023-07-29,Alergia estacional,Sertralina 50 mg,Requiere seguimiento
Elena Díaz,50959939G,21/44456891/02,F,13217,1954-10-04,2023-03-01,Alergia estacional,Metformina 850 mg/12h,Alta médica
Carlos Gómez,10938510U,78/19333209/07,M,13745,1999-05-23,2025-10-12,Hipertensión arterial,Sertralina 50 mg,Requiere seguimiento
Carlos Vega,24431409W,33/30794502/09,F,51105,2001-03-12,2023-08-19,Asma persistente,Paracetamol 1g,Requiere seguimiento
Hugo Fernández,85834665U,82/78240379/02,F,24433,1952-06-07,2024-06-30,Ansiedad generalizada,Enalapril 10 mg/día,Requiere seguimiento
Javier Ruiz,16026970X,11/20345665/07,M,30771,1967-03-25,2025-03-20,Diabetes tipo II,Enalapril 10 mg/día,Síntomas reducidos
Paula Martínez,21036858V,96/15836134/08,M,25825,1951-06-12,2023-03-10,Dermatitis atópica,Ibuprofeno 400 mg/8h,Reagudización leve
Hugo Gómez,16048881C,59/20230377/01,M,21457,1979-04-02,2023-10-25,Asma persistente,Sertralina 50 mg,Alta médica
Laura Díaz,11016105D,91/43892995/09,M,16131,1945-04-01,2025-04-01,Lumbalgia crónica,Corticoide tópico,Reagudización leve
Lucía Ortega,36025738D,89/14002845/04,F,52497,1952-09-22,2023-05-12,Dermatitis atópica,Enalapril 10 mg/día,Síntomas reducidos
Ana Castro,78276327V,28/50246003/04,M,22393,1977-12-11,2025-09-04,Artritis leve,Antihistamínicos,Respuesta favorable
Hugo Díaz,68432259L,76/81661555/01,M,36751,1972-11-26,2025-01-06,Ansiedad generalizada,Corticoide tópico,Respuesta favorable
Ana López,43165099I,87/62627811/07,M,30779,1970-07-20,2024-06-22,Hipertensión arterial,Paracetamol 1g,Reagudización leve
Ana Fernández,66688328P,33/47561043/06,M,38953,1983-12-13,2024-03-24,Alergia estacional,Omeprazol 20 mg/día,Respuesta favorable
Laura Gómez,74814110E,22/48188698/01,M,41465,1943-09-26,2025-03-30,Migraña episódica,Ibuprofeno 400 mg/8h,Respuesta favorable
Laura Molina,50328975A,68/77558522/01,F,45320,2010-03-12,2025-10-11,Migraña episódica,Corticoide tópico,Sin cambios relevantes
Sara Navarro,92384466L,85/36771292/07,F,22643,2003-07-30,2024-07-20,Alergia estacional,Enalapril 10 mg/día,Requiere seguimiento
Ana López,17004673I,50/30357339/01,M,12701,2010-08-02,2023-11-18,Diabetes tipo II,Omeprazol 20 mg/día,Estable
Ana Molina,19705632T,25/91634441/05,M,17037,2004-12-09,2023-07-31,Lumbalgia crónica,Sertralina 50 mg,Requiere seguimiento
Pablo Sánchez,84991213Q,74/60891071/02,F,28966,1971-11-26,2024-01-08,Dermatitis atópica,Antihistamínicos,Control parcial
Carlos Navarro,81638931P,98/37663053/03,M,23763,1988-01-15,2024-11-23,Gastritis,Fisioterapia,Sin cambios relevantes
David Ruiz,52344810O,98/75532549/01,F,29097,1969-02-03,2023-11-05,Diabetes tipo II,Omeprazol 20 mg/día,Respuesta favorable
Carlos Ruiz,55488520K,88/89926419/06,F,22702,1961-12-03,2023-03-24,Hipertensión arterial,Enalapril 10 mg/día,Alta médica
Sergio Ortega,81585404X,65/13413631/07,F,31454,1940-07-28,2023-11-06,Migraña episódica,Sertralina 50 mg,Mejora significativa
Carlos Molina,97942383Q,55/18063763/05,F,17046,1945-12-22,2025-02-14,Hipertensión arterial,Metformina 850 mg/12h,Requiere seguimiento
Lucía Fernández,44951988V,19/67155626/06,F,46191,1991-08-22,2025-05-13,Dermatitis atópica,Antihistamínicos,Requiere seguimiento
Ana Martínez,61496639D,20/40358307/09,F,34802,1997-12-31,2024-04-15,Dermatitis atópica,Antihistamínicos,Sin cambios relevantes
Mario Martínez,28483072L,17/52356119/05,M,25705,2009-01-22,2025-09-19,Dermatitis atópica,Corticoide tópico,Respuesta favorable
Clara Ruiz,77053305N,87/95818726/03,M,48329,1940-07-17,2025-01-22,Ansiedad generalizada,Salbutamol inhalado,Estable
Lucía Ruiz,86843539I,31/77185516/07,F,15742,1972-09-08,2025-06-03,Alergia estacional,Fisioterapia,Respuesta favorable
Lucía Ruiz,31127156V,30/58324675/06,M,42562,2010-08-16,2024-05-20,Hipertensión arterial,Sertralina 50 mg,Respuesta favorable
David Díaz,90180312Z,33/13135117/01,M,39340,1987-11-05,2025-03-07,Artritis leve,Antihistamínicos,Sin cambios relevantes
Sara Martínez,63850656F,33/90005599/05,F,50438,1959-01-17,2025-05-11,Ansiedad generalizada,Enalapril 10 mg/día,Mejora significativa
